hyperlink,Brand,Wine,Rating,Price,Timestamps
/NL/nl/toro-albala-don-px-pedro-ximenez/w/86816?year=2003&price_id=36944822,Toro Albalá,Don PX Pedro Ximenez 2003,"4,4","€31,95",1727910226.2527125
/NL/nl/hidalgo-188736-hidalgo-pedro-ximenez/w/80861?price_id=24992886,Emilio Hidalgo,Hidalgo Pedro Ximénez N.V.,"4,0","€31,90",1727910226.2537246
/NL/nl/lustau-vina-25-pedro-ximenez/w/1435782?price_id=24993352,Lustau,Viña 25 Pedro Ximénez N.V.,"4,1","€31,10",1727910226.2547357
/NL/nl/es-de-muller-aureo-dulce-anejo/w/6220459?price_id=23740660,De Muller,Aureo Dulce Añejo N.V.,"4,1","€30,95",1727910226.2557411
/NL/nl/juan-pinero-great-duke-oloroso-12-anos/w/6790980?price_id=34931173,Juan Pinero,Great Duke Oloroso 12 Años N.V.,"3,8","€29,95",1727910226.256788
/NL/nl/baron-107124-soluqua-manzanilla-pasada/w/2980936?price_id=26341519,Barón,Soluqua Manzanilla Pasada N.V.,"3,9",€29,1727910226.256788
/NL/nl/callejuela-blanquito-manzanilla-pasada/w/3030218?price_id=35910979,Callejuela,Blanquito Manzanilla Pasada N.V.,"3,8","€27,41",1727910226.256788
/NL/nl/francisco-yuste-aurora-oloroso-sherry/w/5197731?price_id=37073025,Bodegas Yuste,Aurora Oloroso Sherry N.V.,"3,5",€27,1727910226.2579334
/NL/nl/baron-107124-xixarito-moscatel/w/4788686?price_id=26341517,Barón,Xixarito Moscatel N.V.,"4,1",€27,1727910226.2579334
/NL/nl/gutierrez-colosia-oloroso-sherry/w/97205?price_id=32524020,Gutiérrez Colosía,Oloroso Sherry N.V.,"3,7","€26,38",1727910226.258977
/NL/nl/gutierrez-colosia-cream-sherry/w/2463277?price_id=32524018,Gutiérrez Colosía,Cream Sherry N.V.,"3,8","€26,38",1727910226.258977
/NL/nl/osborne-duque-de-bailen-jerez-xeres-sherry-oloroso/w/1237343?price_id=32710076,Osborne,Duque de Bailen Jerez-Xeres-Sherry Oloroso N.V.,"3,6","€26,14",1727910226.2600205
/NL/nl/osborne-pedro-ximenez-1827-jerez-xeres-sherry/w/81688?price_id=32976140,Osborne,Pedro Ximenez 1827 Jerez-Xeres-Sherry N.V.,"4,0","€26,14",1727910226.261119
/NL/nl/lustau-san-emilio-pedro-ximenez-sherry-solera-reserva/w/1170133?price_id=13169949,Lustau,San Emilio Pedro Ximénez Sherry (Solera Reserva) N.V.,"4,1","€25,50",1727910226.26213
/NL/nl/gracia-hnos-solera-fina-maria-del-valle/w/2482801?price_id=35528106,Gracia Hnos,Solera Fina María del Valle N.V.,"3,9","€25,41",1727910226.263268
/NL/nl/el-maestro-sierra-fifteen-year-oloroso-sherry/w/2114477?price_id=34930796,El Maestro Sierra,15 Year Oloroso Sherry N.V.,"3,8","€24,95",1727910226.263268
/NL/nl/toro-albala-poley-pedro-ximenez-dulce/w/10585389?year=2019&price_id=35001636,Toro Albalá,Poley Pedro Ximenez Dulce 2019,"4,3","€24,95",1727910226.2647347
/NL/nl/valdespino-promesa-moscatel/w/1606356?price_id=23136330,Valdespino,Promesa Moscatel N.V.,"4,1","€24,95",1727910226.2647347
/NL/nl/equipo-navazos-casa-del-inca-pedro-ximenez/w/1997349?year=2021&price_id=34932548,Equipo Navazos,Casa del Inca Pedro Ximénez 2021,"4,0","€24,95",1727910226.2657688
/NL/nl/hidalgo-188736-manzanilla-charito/w/80851?price_id=24992468,Emilio Hidalgo,Manzanilla Charito N.V.,"3,0","€24,80",1727910226.2657688
/NL/nl/fernando-de-castilla-vermut/w/4857863?price_id=24923302,Fernando de Castilla,Vermut N.V.,"4,0","€22,95",1727910226.2668102
/NL/nl/alvear-pedro-ximenez-de-anada/w/2028826?year=2014&price_id=35834083,Alvear,Pedro Ximénez de Añada 2014,"4,1","€22,40",1727910226.2668102
/NL/nl/es-argueso-eighteen-twentytwo-palo-cortado-reserva-de-la-familia/w/7314405?price_id=25858906,Bodegas Argüeso,1822 Palo Cortado Reserva de la Familia N.V.,"4,0",€22,1727910226.2668102
/NL/nl/baron-107124-micaela-pedro-ximenez/w/4687058?price_id=25360570,Barón,Micaela Pedro Ximénez N.V.,"4,1","€21,01",1727910226.267819
/NL/nl/francisco-yuste-aurora-manzanilla-sherry/w/4110722?price_id=37073024,Bodegas Yuste,Aurora Manzanilla Sherry N.V.,"3,6",€21,1727910226.268829
