Brand,Wine,Rating,Price
4 Ojos,Contratiempo 2022,"3,9","€17,40"
Loxarel,Gaia 2022,"4,1","€17,40"
Naia,Naia 2022,"3,9","€17,40"
Iturrialde,Garena Txakolina 2022,"3,7",€17
Celler Credo,Aloers Xarel-lo 2021,"3,7","€16,99"
Enrique Mendoza,Moscatel de la Marina Alicante 2020,"3,9","€16,95"
Vetus,Alba de Vetus Albariño 2022,"4,1","€16,95"
Prieto Pariente,Viognier 2021,"3,8","€16,95"
Estévez Bodegas y Viñedos,Versos de Valtuille Godello Sobre Lias 2022,"3,9","€16,95"
Pago Los Balancines,Roble Sobre Lías Fermentado en Barrica 2022,"4,1","€16,95"
Barcelo,Sauvignon Blanc  - Verdejo 2022,"3,1","€16,95"
Lagar Da Condesa,Kentia Albariño 2022,"3,8","€16,95"
Fondillón Luis XIV,Las Blancas Tradicionales 2023,"3,9","€16,95"
Fondillón Luis XIV,Las Blancas Tradicionales 2022,"3,9","€16,95"
Prieto Pariente,Viognier 2019,"4,0","€16,95"
Menade,Nosso Verdejo 2022,"3,8","€16,95"
Mendez Moya,Ecológico Sauvignon Blanc 2022,"3,9","€16,95"
Tollodouro,Pontellón Albariño 2023,"4,0","€16,95"
Onerom,Verdejo 2022,"3,7","€16,87"
Acustic Celler,Acústic Blanc 2022,"3,9","€16,75"
Monte Pío,Ledes Albariño 2019,"4,0","€16,70"
Loxarel,Garnatxa Blanca 2021,"3,9","€16,70"
Viña Oropéndola,Verdejo 2022,"3,7","€16,59"
Losada,Godello 2022,"4,2","€18,95"
Terra de Asorei,Nai e Señora Albariño 2023,"3,9","€16,50"
De Moya,Diego 2022,"4,0","€16,50"
Santiago Roma,Colleita de Martís Albariño 2022,"3,8","€16,50"
Tollodouro,Pontellón Albariño 2022,"3,9","€16,50"
Adega Ponte da Boga,Godello 2023,"3,8","€16,50"
Xic del Mel,Macabeu Brisat 2022,"4,0","€16,50"
Gómez Cruzado,Blanco 2023,"3,8","€16,50"
Iturrialde,Garena Txakolina 2023,"3,7","€16,50"
Celler Credo,Miranius 2022,"3,8","€16,50"
Bodegas Pedro Escudero,The Maker 2022,"4,1","€16,45"
Bodega Cerrón,Remordimiento Chardonnay 2023,"3,7","€16,40"
Telmo Rodriguez,Molino Real Mountain Blanco 2021,"4,1","€16,35"
Bodegas Luis Perez,El Muelle de Olaso 2022,"4,0","€16,30"
Menade,Nosso Verdejo 2023,"3,9","€16,25"
Zárate,Albariño 2019,"3,9","€16,25"
Menade,Nosso Verdejo 2019,"4,0","€16,25"
Parés Baltà,Xarel-lo Calcari 2022,"3,7","€16,20"
Veiga da Princesa,Castelo do Mar Albariño 2023,"3,7","€16,20"
El Coto,Coto de Imaz Blanco Reserva 2019,"3,9",€16
Jean Leon,Chardonnay Penedès 3055 2022,"3,8","€15,95"
Equipo Navazos,Ovni Palomino Fino 2021,"3,5","€15,95"
Bouza do Rei,Albariño Rías Baixas 2022,"4,0","€15,95"
Faustino Rivero Ulecia,Albariño 2023,"4,0","€17,95"
Pazo Casanova,Treixadura 2020,"3,9","€15,95"
Familia Torres,Pazo das Bruxas 2023,"3,8","€15,95"
U MES U,De Llevant Malvasia de Sitges 2022,"3,7","€15,95"
Enrique Mendoza,La Tremenda Sauvignon Blanc - Merseguera 2021,"3,7","€15,95"
Clos Montblanc,Únic Sauvignon Blanc 2021,"3,8","€15,95"
Casar de Vide,Treixadura 2020,"3,8","€15,95"
Castillo de Maetierra,Atlantis Albariño 2023,"3,7","€15,95"
Gaintza,Getariako Txakolina 2023,"3,9","€15,95"
Citizen Wine,Sand Boy Albariño 2023,"4,1","€16,95"
Bodegas Chaves,Castel de Fornos Albariño 2023,"4,0","€15,95"
Bodegas Clunia,Tesela Albillo 2020,"3,8","€15,95"
Habla,Habla de Ti Sauvignon Blanc 2023,"3,9","€15,95"
Telmo Rodriguez,Gaba do Xil Blanco O Barreiro 2023,"4,1","€15,95"
Melea,Verdejo - Sauvignon Blanc 2022,"3,4","€15,80"
Gotas de Mar,Albariño 2023,"4,0","€15,79"
Gotas de Mar,Albariño 2022,"4,1","€15,79"
Telmo Rodriguez,Gaba do Xil Blanco O Barreiro 2022,"4,0","€15,75"
Onerom,Verdejo 2023,"3,7","€15,73"
Mas Rodó,Montonega Blanc 2017,"3,9","€15,55"
Pascona,Cor de Granit Blanco 2022,"3,9","€15,50"
Fragas do Lecer,Blanco 2022,"3,8","€15,50"
Monte Pío,Albariño 2022,"3,7","€15,45"
Vivanco,Rioja Blanco 2022,"3,7","€15,20"
Hiruzta,Hondarrabi Zuri 2023,"3,9","€15,10"
Pardevalles,Albarín 2022,"4,1",€15
Coviñas,Aula Macabeo - Sauvignon Blanc 2022,"3,4",€15
Valserrano,Rioja Blanco 2023,"3,7","€14,99"
Ramón Bilbao,Límite Norte Reserva Tempranillo Blanco - Maturana Blanca 2019,"4,1","€14,99"
Bernabeleva,Manchomuelas Blanco 2019,"3,6","€14,95"
Sierra Cantabria,Blanco 2023,"3,6","€14,95"
Valdesil,Montenovo Godello 2022,"3,8","€14,95"
Lagar Da Condesa,O Fillo da Condesa Albariño 2022,"3,7","€14,95"
Shaya,Blanco 2022,"3,8","€14,95"
Viticultores Lo Necesario,El Arbol Blanco 2022,"4,0","€14,95"
Bodega Campo Eliseo,Campo Elíseo Cuvée Alegre Blanco 2021,"4,0","€14,95"
Castillo de Maetierra,Atlantis Albariño 2022,"3,8","€14,95"
Pío del Ramo,Chardonnay Barrica 2022,"3,9","€14,95"
B.R.O.T.,Blanc Inicial 2022,"3,9","€14,95"
Clos Pons,Sisquella 2019,"3,8","€14,95"
Can Axartell,Blanco 2023,"4,0","€14,95"
Cuatro Rayas,Cuarenta Vendimias Cuvée Verdejo 2021,"3,8","€14,95"
Bodega Campo Eliseo,Campo Elíseo Cuvée Alegre Blanco 2022,"4,0","€14,95"
Bruno Murciano,Pieles Doradas 2021,"3,7","€14,95"
U MES U,De Ponent 2021,"3,8","€14,95"
Alta Alella,Parvus Chardonnay 2022,"3,8","€14,95"
Ibizkus,Can Bassó Blanco 2023,"3,7","€14,95"
Marqués de Riscal,Sauvignon Blanc 2023,"3,8","€14,95"
Javier Sanz Viticultor,Sauvignon Blanc 2023,"4,1","€14,95"
Vía Arxéntea,Treixadura - Godello 2022,"4,2","€14,85"
Vivanco,Rioja Blanco 2021,"3,7","€14,80"
Bodegas Nekeas,El Rincón de Nekeas Chardonnay 2021,"3,7","€14,79"
Nius,Verdejo Fermentado En Barrica 2022,"4,0","€14,75"
Bodegas Martín Códax,Rías Baixas Albariño 2023,"3,9","€14,75"
Sierra Cantabria,Blanco 2022,"3,6","€14,75"
Hiruzta,Hondarrabi Zuri 2022,"3,9","€14,75"
Marqués de Montecierzo,Emergente Moscatel de Grano Menudo 2021,"3,9","€14,70"
Bodegas Félix Lorenzo Cachazo,Carrasviñas Fermentado en Barrica 2023,"4,0","€14,70"
Bernabeleva,Navaherreros Blanco 2022,"3,9","€14,70"
Bodegas Martín Códax,Anxo Martín Treixadura - Albariño - Godello 2022,"4,0","€14,65"
Pascona,Lo Noi del Sac Blanc de Noirs 2022,"3,8","€14,50"
Pazo Casanova,Treixadura 2022,"3,8","€14,50"
Av Bodeguers,Petit Suneus Blanc 2020,"4,1","€14,50"
Valmiñor,Albariño Serra da Estrela 2022,"3,7","€14,50"
Xic del Mel,Macabeu 2021,"4,0","€14,50"
Clos Montblanc,Xipella Blanc 2022,"3,6","€14,50"
Celler Credo,Volaina 2019,"3,6","€14,45"
Casa de Outeiro,Godello 2022,"4,0","€14,45"
Bodegas Virgen de Galir,Maruxa Godello 2023,"3,8","€14,43"
Altavins,Almodí Petit Blanc 2023,"3,6","€14,41"
Rectoral do Umia,Porta da Ría Albariño 2023,"4,0","€15,98"
Bodegas Martín Códax,Rías Baixas Albariño Marieta 2021,"4,0","€14,25"
Menade,Sauvignon Blanc 2022,"3,9","€14,25"
Bodegas Félix Lorenzo Cachazo,Caballero de Olmedo Verdejo Fermentado y Criado en Barrica 2023,"4,1","€14,25"
Rezabal,Rezabal Txakoli 2022,"4,1","€14,25"
Quinta de Couselo,Barbuntín Albariño 2022,"3,9","€14,20"
Laudum,Moscatel 2019,"4,0","€13,95"
Pinord,Penedès Gewürztraminer - Muscat Mireia 2022,"4,1","€13,95"
Castillo de Mendoza,Noralba Blanco 2022,"3,8","€13,95"
Chan de Rosas,Clásico Albariño 2022,"3,8","€14,95"
Nubori,Pazo de Nubori Albariño 2021,"4,0","€13,95"
Avgvstvs,Primer Blanc 2023,"3,7","€13,95"
Abad,Cimabella Godello 2022,"3,8","€13,95"
Clos Montblanc,Únic Chardonnay 2023,"4,1","€15,95"
José Pariente,Verdejo 2023,"4,1","€15,30"
Costers del Sió,Siós Pla del Lladoner 2022,"3,9","€15,95"
Félix Solís,Medusa Albariño 2023,"4,0","€13,95"
Enate,Chardonnay 234 2023,"4,1","€13,90"
Heredad Morán & López,Heredad 26 Godello 2021,"3,9","€13,85"
Viña Costeira,Amor de Bares 2022,"3,9","€13,81"
Nuviana,Chardonnay 2022,"3,5","€13,76"
Pazo Das Tapias,Lagar da Xestosa Godello 2023,"3,8","€13,75"
Marqués de Riscal,Blanco (Verdejo) 2022,"3,9","€13,75"
Can Axartell,Blanco 2021,"3,9","€13,65"
Coviñas,Aula Macabeo - Sauvignon Blanc 2023,"3,4","€13,50"
Neo,Viñas Viejas Verdejo 2023,"3,7","€13,50"
Pago de Cirsus,Fermentado en Barrica Chardonnay (Oak Aged) 2022,"4,2","€13,49"
Familia Torres,Gran Viña Sol Chardonnay 2023,"3,8","€13,45"
Mengoba,Brezo Blanco 2022,"3,8","€13,35"
Muga,Muga Blanco 2023,"3,9","€13,31"
De Muller,T7 Set de Chardonnay 2018,"3,6","€13,30"
Bodegas Valdemar,Conde Valdemar Tempranillo Blanco 2021,"3,7","€13,25"
Ostatu,Rioja Blanco 2023,"3,9","€13,25"
Marques de Garoa,Fermentado en Barrica 2022,"4,1",€13
Casa Lluch,Verdil Seleccion 2023,"4,1",€13
Bodega Las Cepas,Costalarbol Blanco 2022,"3,4",€13
Familia Torres,Gran Viña Sol Chardonnay 2022,"3,7","€12,99"
Alta Alella,Pansa Blanca 2022,"3,8","€12,95"
Finca Montote,Sauvignon Blanc 2020,"4,0","€12,95"
Voché,Blanco Fermentado En Barrica 2023,"4,0","€12,95"
Winery On Creations,Demuerte White 2023,"3,8","€12,95"
Valtravieso,Valtravieso Nogara Verdejo 2022,"3,9","€12,95"
Monte Pío,Raxeira Albariño 2022,"4,1","€12,95"
Clos Dels Guarans,Les Someres 2022,"3,8","€12,95"
Félix Solís,Medusa Albariño 2022,"4,0","€13,95"
MDV,Chardonnay 2022,"4,1","€12,95"
Bodegas Enguera,Blanco Selección 2022,"4,0","€12,95"
MontRubí,White 2021,"3,7","€12,95"
Shaya,Sauvignon Blanc 2021,"3,6","€12,95"
De Moya,Tibó Blanco 2022,"3,9","€12,95"
Álvarez y Díez,Mantel Blanco Sauvignon 2021,"4,1","€12,95"
Clos Dels Guarans,Les Someres 2021,"3,9","€12,95"
Celler Credo,And The Winner Is... 2022,"3,8","€12,95"
Lagar de Moha,Sapientia Verdejo Ecológico 2022,"3,9","€12,95"
7 Magnífics,Rebels de Batea Blanc 2021,"3,6","€12,95"
Paco & Lola,No. 12 Albariño 2022,"4,0","€12,95"
Juan Gil,Blanco 2021,"4,0","€12,95"
Viña Costeira,Via Barrosa Treixadura 2022,"3,9","€12,93"
Monopole,Blanco 2023,"3,5","€12,90"
La Quinta,Elementa 2022,"3,9","€18,96"
