Brand,Wine,Rating,Price
Castillo de Mendoza,Reserva 2017,"4,1","€19,95"
Fontedei,Prado Negro Crianza 2015,"3,8","€19,95"
Clos 93,L' Interrogant 2020,"4,1","€19,95"
Finca La Capilla,La Capilla Crianza 2019,"4,1","€19,95"
Familia Conesa,Finca La Sabina Tempranillo 2018,"3,8","€19,95"
Generación 1,Tinto 2019,"4,0","€19,95"
Muriel,Rioja Gran Reserva Vendimia Seleccionada 2019,"4,0","€19,95"
Bodegas Marqués de Cáceres,Excellens Reserva 2018,"4,0","€19,95"
Pacheco,Selección 2019,"3,9","€19,95"
Sierra Cantabria,Garnacha 2018,"4,1","€19,95"
Enrique Mendoza,Pinot Noir Alicante 2022,"3,8","€19,95"
Pico Cuadro,Wild 2019,"4,0","€19,95"
Bodega Ribas,Ribas Negre 2021,"3,9","€19,95"
Castillo de Cuzcurrita,Señorío de Cuzcurrita Rioja 2019,"4,3","€19,95"
Garagewine,Cencibel 2020,"3,9","€19,95"
Bruno Murciano,Las Tintas 2021,"3,8","€19,95"
Nubori,Vendimia Seleccionada Reserva 2018,"3,9","€19,95"
Sierra Cantabria,Garnacha 2019,"3,9","€19,95"
La Cepa Alta,Cinco Elementos Essentia 2020,"4,0","€19,95"
Petit Vega,28 Meses 2015,"4,1","€21,95"
Diez Caballero,Reserva Tempranillo 2009,"3,9","€19,95"
Rodríguez de Vera,Atalaque Garnacha de la Peraleda 2020,"4,0","€19,95"
Familia Conesa,Finca La Sabina Merlot Crianza 2016,"3,8","€19,95"
De Moya,Sofia 2019,"4,2","€19,95"
Egomei,Rioja 2019,"3,8","€19,95"
Bruno Murciano,L'Alegria Bobal Arcilla 2021,"4,1","€19,95"
Sierra Cantabria,Cuvée 2017,"3,9","€19,95"
Bodegas Diaz Bayo,Nuestro 20 Meses 2015,"4,2","€22,90"
Legón,Ribera del Duero Reserva 2019,"4,0","€22,90"
Legón,Ribera del Duero Premium 2019,"4,0","€19,95"
VALENCISO,Laderas de Cabama Rioja 2021,"3,9","€19,95"
La Rioja Alta,Viña Alberdi Reserva 2019,"4,2","€19,95"
Cruz de Alba,Ribera del Duero (Crianza) 2020,"4,1","€19,95"
De Moya,Sofia 2019,"4,2","€19,95"
Covitoro,Bos Tinta de Toro Roble 2021,"3,7","€19,90"
Bodega Buen Camino,Ribera Del Duero 2017,"4,0","€19,90"
Venta La Vega - Bodegas Almanseñas,Adaras Huella Garnacha Tintonera - Monastrell 2019,"3,7","€19,90"
Can Gelat,Ecològic Callet 2023,"4,1","€19,90"
Dominio de Anza,Diego Magaña 2020,"4,2","€19,87"
Pardevalles,Gamonal 2020,"3,8","€19,75"
Casa Rojo,Tintafina 2019,"4,1","€21,95"
Prieto Pariente,Vinedos de La Provincia 2018,"4,0","€19,75"
Bodega Bruno Ruiz - Esencia Rural,Pampaneo Tempranillo 2021,"3,7","€19,58"
Bodega Bruno Ruiz - Esencia Rural,Pampaneo Tempranillo 2023,"3,6","€19,58"
