Brand,Wine,Rating,Price
Fernando de Castilla,Classic Dry Sec Fino N.V.,"3,3","€14,95"
Callejuela,Manzanilla en Rama N.V.,"4,0","€14,90"
Lustau,Jarana Fino Sherry (Very Dry) N.V.,"3,3","€14,49"
Gutiérrez Colosía,Fino Sherry N.V.,"3,4","€13,95"
Fernando de Castilla,Classic Sweet Cream Sherry N.V.,"4,1","€13,95"
El Maestro Sierra,Fino Sherry N.V.,"3,6","€13,50"
Juan Pinero,Manzanilla Maruja N.V.,"3,6","€9,50"
Juan Pinero,Manzanilla Jarona N.V.,"3,4","€8,49"
Barbadillo,Amontillado Sherry N.V.,"3,6","€8,30"
Gil Luque,Leyenda Fino Sherry N.V.,"3,7","€7,50"
Cota 45,Pandorga Esencia de Pedro Ximénez 2017,"4,4","€49,50"
Marqués del Real Tesoro,Valdespino Fino Seco N.V.,"3,4","€20,99"
Barón,Manzanilla N.V.,"3,6","€12,50"
Cota 45,Agostado 2016,"4,2","€49,95"
Alvear,Fino En Rama 2008,"3,2","€8,20"
Alvear,Pedro Ximenez de Cosecha 1927,"3,9","€15,80"
Toro Albalá,Eléctrico Don PX Reserva Especial 2020,"4,6","€31,50"
Delgado Zuleta,Zuleta Cream N.V.,"4,0","€16,50"
Alvear,Pedro Ximénez de Sacristía 2008,"4,1",€45
Alvear,Pedro Ximénez de Sacristía 1998,"4,4","€59,50"
Toro Albalá,Don PX Convento Selección 1980,"4,7","€274,95"
Pedro Rodriguez e Hijos,Manzanilla Pasada Mil Pesetas N.V.,"3,7","€9,95"
Delgado Zuleta,Manzanilla Goya XL N.V.,"4,1","€13,95"
Bodegas Argüeso,San Leon Reserva de Familia N.V.,"3,8","€24,70"
Álvaro Domecq,1730 Pedro Ximenez N.V.,"4,4","€22,95"
Balandro,Las Botas Amontillado Perpendicular N.V.,"4,0",€53
Barbadillo,Pale Dry Fino Sherry N.V.,"3,4","€10,50"
Williams & Humbert,Walnut Brown Rare Old N.V.,"3,6","€12,99"
Romate,Ambrosía Moscatel N.V.,"4,1","€29,90"
Romate,Bella Luna PX Pedro Ximenez N.V.,"4,1","€15,74"
Bodegas Yuste,Aurora Pedro Ximenez Sherry N.V.,"4,0","€21,95"
Williams & Humbert,A Winter's Tale Medium Sweet Amontillado N.V.,"3,8","€14,50"
Gutiérrez Colosía,Palo Cortado N.V.,"4,0","€82,80"
Toro Albalá,Don PX Gran Reserva 1999,"4,4","€50,38"
Toro Albalá,Don PX Convento Selección 1931,"4,8","€393,63"
Álvaro Domecq,La Janda Fino N.V.,"3,5","€11,95"
Barbadillo,Manzanilla Muyfina N.V.,"3,1","€4,95"
Gomez Nevado,Pálido Sierra Morena Dry Seco N.V.,"3,6","€15,95"
José Pemartín,Pedro Ximénez N.V.,"3,9",€18
Toro Albalá,Don PX Convento Selección 1958,"4,7","€349,95"
Juan Pinero,Moscatel N.V.,"3,9","€28,50"
Gonzalez-Byass,Leonor Palo Cortado Seco N.V.,"4,1","€21,60"
Lustau,Manzanilla Pasada de Sanlúcar Almacenista Manuel Cuevas Jurado N.V.,"3,8",€31
Williams & Humbert,Don Zoilo Amontillado 12 Years Old Sherry N.V.,"3,8","€14,95"
Alvear,Asuncion Oloroso N.V.,"4,0","€24,30"
Fernando de Castilla,Antique Oloroso N.V.,"3,8","€33,40"
Fernando de Castilla,Antique Fino N.V.,"3,9","€25,99"
Valdespino,Deliciosa Manzanilla N.V.,"3,6","€8,50"
Lustau,La Ina Fino N.V.,"3,5","€11,90"
Lustau,Vermut Blanco N.V.,"4,1","€19,95"
Osborne,Fino Quinta Sherry N.V.,"3,4","€11,95"
Williams & Humbert,Pando Fino N.V.,"3,3","€12,71"
Valdespino,Contrabandista Amontillado Blend Medium Dry N.V.,"3,8","€24,95"
Valdespino,Jerez Dulce Sherry N.V.,"3,7","€12,83"
Alvear,CB Fino Pedro Ximenez N.V.,"3,4","€6,43"
Valdespino,Isabela Cream Sherry N.V.,"4,0","€16,04"
Barbadillo,Manzanilla Solear N.V.,"3,3","€8,23"
Barbadillo,Obispo Gascon Palo Cortado Sherry N.V.,"3,9","€23,25"
Lustau,Oloroso Pata de Gallina Almacenista Juan García Jarana N.V.,"4,0","€29,04"
El Maestro Sierra,12 Year Amontillado Sherry N.V.,"3,7","€29,95"
Alvear,Fino Capataz (Solera de la Casa) N.V.,"4,0","€21,10"
Juan Pinero,Amontillado N.V.,"3,7",€63
El Maestro Sierra,Amontillado 1830 N.V.,"4,1","€176,50"
Hidalgo (La Gitana),Hidalgo Clásica Fino N.V.,"3,3","€12,90"
Vivanco,4 Varietales Colección Dulce de Invierno Colección Rioja 2015,"3,9","€23,85"
Osborne,Fino Sherry Pale Dry N.V.,"3,2","€6,41"
Pedro Rodriguez e Hijos,Jose Miguel Fino Sherry N.V.,"2,8","€9,95"
Delgado Zuleta,Zuleta Medium N.V.,"3,7",€17
Barbadillo,Oloroso Aged 30 Years Seco N.V.,"4,1","€117,31"
Pedro Domecq,Manzanilla N.V.,"3,4","€6,49"
Bodegas Argüeso,Las Medallas de Argüeso N.V.,"3,5","€11,01"
Toro Albalá,Don PX Convento Selección 1974,"4,7","€354,11"
Pedro Domecq,Domecq Dry Fino Sherry N.V.,"2,9","€6,49"
Pedro Domecq,Rio Viejo Jerez Oloroso Seco N.V.,"3,8","€15,48"
Delgado Zuleta,Zuleta Manzanilla N.V.,"3,3","€6,15"
Álvaro Domecq,La Jaca N.V.,"3,3","€11,95"
Bodegas Ximénez-Spínola,Delicado Cosecha Pedro Ximénez 2022,"4,3","€28,95"
Romate,Old & Plus Pedro Ximénez N.V.,"4,4","€69,26"
Sandeman,Fino Sherry N.V.,"3,2","€6,95"
Sandeman,Medium Dry Sherry N.V.,"3,7","€6,95"
Toro Albalá,Don PX Pedro Ximenez 2018,"4,2","€23,95"
Romate,Oloroso Sherry N.V.,"3,5","€12,50"
Lustau,Jerez-Xérès-Sherry Río Viejo Oloroso Seco Dry N.V.,"3,7","€9,55"
Barbadillo,Oloroso  Sherry N.V.,"3,6","€8,23"
Vivanco,4 Varietales Colección Dulce de Invierno Colección Rioja 2020,"4,0","€22,18"
Alvear,Solera 1910 N.V.,"4,3","€35,95"
Barbadillo,Eva Cream Sherry N.V.,"3,7","€14,25"
Alvear,Fino En Rama 2012,"3,4","€8,95"
Juan Pinero,Maruja Manzanilla Pasada N.V.,"4,1","€36,95"
Osborne,Coquinero Jerez-Xérès-Sherry Fino Amontillado N.V.,"3,8","€12,50"
Barbadillo,Eva Cream Sherry N.V.,"3,7","€14,25"
Vivanco,4 Varietales Colección Dulce de Invierno Colección Rioja 2020,"4,0","€22,18"
Alvear,Solera 1910 N.V.,"4,3","€35,95"
Fernando de Castilla,Classic Premium Cream N.V.,"3,7","€10,99"
Hidalgo (La Gitana),Amontillado Napoleon N.V.,"3,7","€22,95"
Bodegas Argüeso,San León N.V.,"3,6",€9
Barbadillo,Cuco Seco Oloroso Sherry N.V.,"3,7","€25,50"
Valdespino,Quina N.V.,"4,1","€26,95"
Valdespino,Vermouth N.V.,"4,0","€23,95"
Padró & Co,Blanco Reserva Vermouth N.V.,"4,2","€15,90"
Valdespino,Toneles Moscatel N.V.,"4,8",€235
Alvear,Cream Sherry N.V.,"3,3","€14,90"
Osborne,Medium Sherry N.V.,"3,5","€6,47"
Alvear,Pedro Ximénez 1927 N.V.,"4,1",€18
Lustau,Vermut Rosé N.V.,"4,1","€19,95"
Toro Albalá,Marqués de Poley Oloroso N.V.,"3,7","€38,74"
Kysela,Vermut Luis XIV N.V.,"4,2",€19
Hidalgo (La Gitana),Alameda Cream Sherry N.V.,"3,9","€15,57"
Hidalgo (La Gitana),Oloroso Faraon N.V.,"3,6","€17,52"
Barbadillo,San Rafael Medium N.V.,"3,8","€14,64"
Lustau,Jerez-Xérès-Sherry 30 Year Old Oloroso VORS N.V.,"4,3","€79,90"
Gonzalez-Byass,Nectar Pedro Ximenez Sherry (Dulce) N.V.,"4,1","€7,99"
Alvear,Solera 1927 N.V.,"4,2","€16,87"
Gonzalez-Byass,Solera 1847 Cream N.V.,"3,9","€7,85"
Alvear,Solera 1927 N.V.,"4,2","€16,87"
Lustau,Don Nuño Dry Oloroso Sherry (Reserva Solera) N.V.,"3,7","€18,50"
Lustau,San Emilio Pedro Ximenez N.V.,"4,1","€17,50"
Lustau,Vermut Rojo N.V.,"4,2","€19,95"
Lustau,Emilín Moscatel Sherry (Solera Reserva) N.V.,"4,1","€26,50"
Cota 45,Pandorga Esencia de Pedro Ximénez 2018,"4,4","€49,50"
José Pemartín,Fino N.V.,"3,4","€15,90"
Cota 45,Pandorga 2017,"4,4","€53,95"
La Primilla,Pedro Ximenez N.V.,"4,2","€18,95"
José Pemartín,Oloroso N.V.,"3,8",€22
Williams & Humbert,As You Like It Medium Sweet Amontillado Blend N.V.,"4,4","€29,99"
Perez Barquero,Gran Barquero Oloroso Solera 25 Años N.V.,"4,2","€15,90"
Gomez Nevado,Dorado Sierra Morena Seco N.V.,"3,8","€19,95"
Williams & Humbert,Bodega Sherry 887 Medium N.V.,"3,7","€7,99"
Bodegas Robles,Piedra Luenga B PX N.V.,"3,7","€17,95"
Barbadillo,Aged 30 Years Palo Cortado Sherry N.V.,"4,3","€141,45"
Fernando de Castilla,Hechizo Moscatel N.V.,"3,8","€19,95"
Valdespino,Tres Cortados Medium Dry N.V.,"3,8","€14,73"
Pedro Domecq,Smooth Medium Dry Sherry N.V.,"3,3","€6,49"
Diez Mérito,Bertola P.X. Pedro Ximenez N.V.,"3,9","€44,90"
Osborne,Santa María Jerez-Xeres-Sherry Cream N.V.,"3,8","€16,84"
Romate,Old & Plus Oloroso N.V.,"4,2","€69,26"
Astobiza,Extra Premium Vermouth N.V.,"4,1","€29,99"
