Brand,Wine,Rating,Price
Descendientes de J. Palacios,Las Lamas Bierzo (Corullón) 2021,"4,3",€154
Dominio de Pingus,Flor de Pingus 2021,"4,4","€152,38"
Teso La Monja,Alabaster 2021,"4,6","€151,95"
Artadi,La Morera de San Lázaro 2018,"4,2","€145,16"
Remírez de Ganuza,Gran Reserva 2015,"4,5","€144,95"
Bodega Numanthia,Numanthia 2008,"4,2","€141,71"
Olivier Rivière,Pozo Alto 2019,"4,3","€141,71"
Artadi,La Poza de Ballesteros 2020,"4,4","€141,03"
Artadi,La Poza de Ballesteros 2019,"4,3","€139,95"
Michelini i Mufatto,Post Crucifixión 2021,"4,2",€139
Bodega Contador (Benjamín Romeo),Alma 2021,"4,4","€134,95"
Emilio Moro,Malleolus de Sanchomartin 2019,"4,6","€134,95"
Raúl Pérez,Castro Ventoso Valtuille Tinto 2019,"4,0","€132,95"
Descendientes de J. Palacios,Las Lamas Bierzo (Corullón) 2019,"4,3",€131
Remírez de Ganuza,Gran Reserva 2012,"4,4",€131
Callejo,Félix Callejo (Viñedos de la Familia) 2018,"4,5","€129,95"
Bodega Numanthia,Numanthia 2016,"4,3","€129,95"
Descendientes de J. Palacios,Moncerbal Bierzo (Corullón) 2021,"4,3",€129
Pago de Carraovejas,El Anejón 2019,"4,5",€128
Bodega Contador (Benjamín Romeo),Alma 2020,"4,4","€127,95"
Marqués de Murrieta,Gran Reserva Rioja (Finca Ygay) 2014,"4,3",€126
Sierra Cantabria,Amancio 2019,"4,5","€125,95"
Bodegas Virtus,Vega Del Yuso 2014,"4,2","€124,86"
Comando G,La Mujer Cañón 2021,"4,0","€121,89"
Alión,Ribera del Duero 2019,"4,5","€121,80"
Familia Torres,Reserva Real 2013,"3,9","€120,44"
Scala Dei,Sant Antoni 2020,"4,3",€120
Pujanza,Rioja Cisma 2020,"4,3","€119,95"
Descendientes de J. Palacios,Moncerbal Bierzo (Corullón) 2020,"4,1","€119,95"
Pujanza,Rioja Cisma 2017,"4,3","€119,90"
Sierra Cantabria,Finca el Bosque 2019,"4,5","€116,10"
Hacienda Solano,Finca Cascorrales 2016,"4,5",€115
Marqués de Riscal,Barón de Chirel Rioja Reserva 2017,"4,5",€115
Hacienda Solano,Peña Lobera 2016,"4,5",€115
Vivaltus,Tinto 2018,"4,3","€114,95"
Bodega Lanzaga,Tabuerniga 2021,"4,3","€114,27"
Comando G,La Mujer Cañón 2020,"3,8","€114,27"
Scala Dei,Heretge Priorat 2017,"4,4","€113,50"
Espectacle del Montsant,Tinto 2021,"4,4","€112,95"
Sierra Cantabria,Finca el Bosque 2020,"4,4","€112,10"
Sierra Cantabria,Finca el Bosque 2018,"4,5","€112,10"
Costers del Priorat,Clos Alzina Vinyes Velles (Old Vines) 2018,"4,2","€111,50"
Costers del Priorat,Clos Cypres Vinyes Velles (Old Vines) 2018,"4,3","€111,50"
Hacienda Monasterio,Reserva Especial 2016,"4,5","€111,22"
Vall Llach,Priorat Red 2004,"4,3","€111,22"
Costers del Priorat,Clos Cypres Vinyes Velles (Old Vines) 2017,"4,2","€110,62"
Familia Torres,Grans Muralles 2019,"4,3",€110
Morca,Touran 2021,"4,6","€109,95"
Artadi,Collectors Santa Cecilia 2015,"4,4","€109,77"
Familia Torres,Mas La Plana Cabernet Sauvignon 2005,"4,3","€106,65"
Pago de Los Capellanes,Reserva Tinto 2019,"4,4","€105,40"
Artadi,Collectors Santa Cecilia 2016,"4,4","€105,20"
Dominio de Pingus,PSI 2019,"4,2","€105,20"
Costers del Priorat,Clos Cypres Vinyes Velles (Old Vines) 2020,"4,2","€105,18"
Costers del Priorat,Clos Alzina Vinyes Velles (Old Vines) 2019,"4,0","€105,18"
Marta Maté,Los Perejiles 2020,"4,5",€105
Morca,Touran 2020,"4,6","€104,95"
Vivaltus,Tinto 2017,"4,5","€104,95"
Bodegas Valdemar,Conde de Valdemar Gran Reserva 1995,"4,2","€102,91"
Estones,Terces 2014,"4,3",€100
Viña Meín,O Gran Val Do Avia Tinto 2020,"4,1","€99,95"
Sierra Cantabria,Finca el Bosque 2021,"4,5","€99,95"
La Rioja Alta,Viña Ardanza Reserva 2010,"4,3","€99,95"
Emilio Moro,Malleolus de Valderramiro 2019,"4,5","€99,95"
Winery On Creations,Demuerte Black 2017,"4,4",€99
Winery On Creations,Demuerte Black 2019,"4,2",€99
